mess_id,origin,destination,departure_slot,connection_ready_slot,safe_energy_kwh,status
MESS01,STA01,IDC03,85,89,65.74549442971312,FEASIBLE
MESS01,STA01,IDC03,86,90,65.81271238242682,FEASIBLE
MESS01,STA01,IDC03,87,91,66.0950005917753,FEASIBLE
MESS01,STA01,IDC03,88,92,66.13851577878908,FEASIBLE
MESS01,STA01,IDC03,89,93,65.7844217178471,FEASIBLE
MESS01,STA01,IDC03,90,94,66.3733536084276,FEASIBLE
MESS01,STA01,IDC03,91,95,66.03247070619487,FEASIBLE
MESS01,STA01,IDC03,92,96,66.42951100390613,FEASIBLE
MESS01,STA01,IDC03,93,97,66.36435899448657,CONNECTION_READY_BEYOND_HORIZON
MESS01,STA01,IDC03,94,98,66.65453489037652,CONNECTION_READY_BEYOND_HORIZON
MESS01,STA01,IDC03,95,99,66.74605905431484,CONNECTION_READY_BEYOND_HORIZON
MESS01,STA01,IDC04,0,3,28.953268708191665,FEASIBLE
MESS01,STA01,IDC04,1,4,28.787858377433864,FEASIBLE
MESS01,STA01,IDC04,2,5,28.893034225119553,FEASIBLE
MESS01,STA01,IDC04,3,6,28.977644862594513,FEASIBLE
MESS01,STA01,IDC04,4,7,28.999129428799055,FEASIBLE
MESS01,STA01,IDC04,5,8,28.866528642461315,FEASIBLE
MESS01,STA01,IDC04,6,9,28.924703703543823,FEASIBLE
MESS01,STA01,IDC04,7,10,28.8719044126235,FEASIBLE
MESS01,STA01,IDC04,8,11,29.010337968747745,FEASIBLE
MESS01,STA01,IDC04,9,12,29.1243401585938,FEASIBLE
MESS01,STA01,IDC04,10,13,28.820687065403682,FEASIBLE
MESS01,STA01,IDC04,11,14,28.826972436834783,FEASIBLE
MESS01,STA01,IDC04,12,15,28.712311530965582,FEASIBLE
MESS01,STA01,IDC04,13,16,28.879791212557517,FEASIBLE
MESS01,STA01,IDC04,14,17,29.067736552316006,FEASIBLE
MESS01,STA01,IDC04,15,18,28.76853355409615,FEASIBLE
MESS01,STA01,IDC04,16,19,28.917121620511278,FEASIBLE
MESS01,STA01,IDC04,17,20,28.692969202250765,FEASIBLE
MESS01,STA01,IDC04,18,21,28.733229327018133,FEASIBLE
MESS01,STA01,IDC04,19,22,28.571132040522055,FEASIBLE
MESS01,STA01,IDC04,20,23,27.169894442942496,FEASIBLE
MESS01,STA01,IDC04,21,24,27.044038901283397,FEASIBLE
MESS01,STA01,IDC04,22,25,27.28522969310212,FEASIBLE
MESS01,STA01,IDC04,23,26,27.13707182350398,FEASIBLE
MESS01,STA01,IDC04,24,27,27.83531188729154,FEASIBLE
MESS01,STA01,IDC04,25,28,27.629617343288377,FEASIBLE
MESS01,STA01,IDC04,26,29,27.737100564416043,FEASIBLE
MESS01,STA01,IDC04,27,30,27.38672908691182,FEASIBLE
MESS01,STA01,IDC04,28,31,27.09935583601692,FEASIBLE
MESS01,STA01,IDC04,29,32,26.996060975334835,FEASIBLE
MESS01,STA01,IDC04,30,33,27.34414470110052,FEASIBLE
MESS01,STA01,IDC04,31,34,27.213466275056078,FEASIBLE
MESS01,STA01,IDC04,32,35,27.21199932555544,FEASIBLE
MESS01,STA01,IDC04,33,36,26.985318308467193,FEASIBLE
MESS01,STA01,IDC04,34,37,27.21970485283693,FEASIBLE
MESS01,STA01,IDC04,35,38,27.150189261025954,FEASIBLE
MESS01,STA01,IDC04,36,39,39.68955927990457,FEASIBLE
MESS01,STA01,IDC04,37,40,27.548939576033344,FEASIBLE
MESS01,STA01,IDC04,38,41,27.44456211461296,FEASIBLE
MESS01,STA01,IDC04,39,42,27.34239894987753,FEASIBLE
MESS01,STA01,IDC04,40,43,27.42934947817584,FEASIBLE
MESS01,STA01,IDC04,41,44,27.684311019514716,FEASIBLE
MESS01,STA01,IDC04,42,45,27.36072475581441,FEASIBLE
MESS01,STA01,IDC04,43,46,27.86851982805385,FEASIBLE
MESS01,STA01,IDC04,44,47,28.05355820759921,FEASIBLE
MESS01,STA01,IDC04,45,48,27.496743628861925,FEASIBLE
MESS01,STA01,IDC04,46,49,27.34221410651078,FEASIBLE
MESS01,STA01,IDC04,47,50,27.984950582830905,FEASIBLE
MESS01,STA01,IDC04,48,51,27.53628633577176,FEASIBLE
MESS01,STA01,IDC04,49,52,28.182175181032882,FEASIBLE
MESS01,STA01,IDC04,50,53,28.050247290109677,FEASIBLE
MESS01,STA01,IDC04,51,54,41.614811922529064,FEASIBLE
MESS01,STA01,IDC04,52,55,27.856691308124724,FEASIBLE
MESS01,STA01,IDC04,53,56,27.913890344046056,FEASIBLE
MESS01,STA01,IDC04,54,57,28.204596488939252,FEASIBLE
MESS01,STA01,IDC04,55,58,27.91632801000595,FEASIBLE
MESS01,STA01,IDC04,56,59,27.731378437674227,FEASIBLE
MESS01,STA01,IDC04,57,60,27.62246562395692,FEASIBLE
MESS01,STA01,IDC04,58,61,27.781071643097217,FEASIBLE
MESS01,STA01,IDC04,59,62,27.55099024948837,FEASIBLE
MESS01,STA01,IDC04,60,63,28.045953805856435,FEASIBLE
MESS01,STA01,IDC04,61,64,28.297402655141234,FEASIBLE
MESS01,STA01,IDC04,62,65,27.812452688407866,FEASIBLE
MESS01,STA01,IDC04,63,66,27.808337086460696,FEASIBLE
MESS01,STA01,IDC04,64,67,27.550759002429505,FEASIBLE
MESS01,STA01,IDC04,65,68,27.615183385299257,FEASIBLE
MESS01,STA01,IDC04,66,69,27.59486024869683,FEASIBLE
MESS01,STA01,IDC04,67,70,27.414709155949215,FEASIBLE
MESS01,STA01,IDC04,68,71,27.670526072561593,FEASIBLE
MESS01,STA01,IDC04,69,72,41.85100785833691,FEASIBLE
MESS01,STA01,IDC04,70,73,27.43461289546707,FEASIBLE
MESS01,STA01,IDC04,71,74,27.614347608798063,FEASIBLE
MESS01,STA01,IDC04,72,75,27.369760466322308,FEASIBLE
MESS01,STA01,IDC04,73,76,27.104218467228886,FEASIBLE
MESS01,STA01,IDC04,74,77,27.53840263039977,FEASIBLE
MESS01,STA01,IDC04,75,78,27.32875569832872,FEASIBLE
MESS01,STA01,IDC04,76,79,27.259317356935437,FEASIBLE
MESS01,STA01,IDC04,77,80,27.341100591989647,FEASIBLE
MESS01,STA01,IDC04,78,81,27.430156650397304,FEASIBLE
MESS01,STA01,IDC04,79,82,27.38390033226244,FEASIBLE
MESS01,STA01,IDC04,80,83,27.344946532193276,FEASIBLE
MESS01,STA01,IDC04,81,84,27.190006009355677,FEASIBLE
MESS01,STA01,IDC04,82,85,28.191963479937684,FEASIBLE
MESS01,STA01,IDC04,83,86,28.26247104526178,FEASIBLE
MESS01,STA01,IDC04,84,87,28.475348883719487,FEASIBLE
MESS01,STA01,IDC04,85,88,28.268503981876357,FEASIBLE
MESS01,STA01,IDC04,86,89,28.13976376866453,FEASIBLE
MESS01,STA01,IDC04,87,90,28.216160361377938,FEASIBLE
MESS01,STA01,IDC04,88,91,28.196820677627045,FEASIBLE
MESS01,STA01,IDC04,89,92,28.157906463075776,FEASIBLE
MESS01,STA01,IDC04,90,93,28.22694986469232,FEASIBLE
MESS01,STA01,IDC04,91,94,28.224592836359914,FEASIBLE
MESS01,STA01,IDC04,92,95,28.218682486991362,FEASIBLE
MESS01,STA01,IDC04,93,96,28.271983826204725,FEASIBLE
MESS01,STA01,IDC04,94,97,28.401888717643608,CONNECTION_READY_BEYOND_HORIZON
