model,mode,horizon_hours,role,metric,difference_to_LGBM,CI95_low,CI95_high,N_paired_days,block_length_days,bootstrap_draws,seed_aggregation
SEASONAL,fixed,4,EXPOSED_EVALUATION,burst_mean_miss_GPUh,293.97422295520477,-217.4821475264406,743.8778994134984,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,4,EXPOSED_EVALUATION,calibrated_coverage,-0.020763187429854103,-0.03998316498316498,-0.000831228956228981,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,4,MAY_HISTORICAL,calibrated_Q90_pinball,34.28696947348696,-18.75698485734495,78.55536300372958,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,4,MAY_HISTORICAL,raw_Q90_pinball,-101.75084999692716,-195.87227089239633,-24.359613901609123,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,4,MAY_HISTORICAL,mean_forecast_requirement,519.5945508698253,-13.867856668449349,1022.1095878101852,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,4,MAY_HISTORICAL,burst_mean_miss_GPUh,-24.453035091586518,-489.36015496245017,475.0681836941894,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,4,MAY_HISTORICAL,calibrated_coverage,0.010354440461967339,-0.028683791318199925,0.06055356431700515,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,8,EXPOSED_EVALUATION,calibrated_Q90_pinball,88.35228213788538,-23.197314551202794,226.64487006152987,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,8,EXPOSED_EVALUATION,raw_Q90_pinball,-95.40822959566495,-172.63942120083482,-23.296264818615,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,8,EXPOSED_EVALUATION,mean_forecast_requirement,-1401.0882098022084,-2397.9724036614334,-282.8001316079909,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,8,EXPOSED_EVALUATION,burst_mean_miss_GPUh,1020.5790237932506,-103.79071193795593,1961.2826473605908,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,8,EXPOSED_EVALUATION,calibrated_coverage,-0.04720279720279721,-0.08863636363636364,-0.0047159090909091,88,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,8,MAY_HISTORICAL,calibrated_Q90_pinball,95.96171763795932,-77.62683183350909,255.67980921226328,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,8,MAY_HISTORICAL,raw_Q90_pinball,-85.66205733609931,-257.496615293161,63.45019846574694,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,8,MAY_HISTORICAL,mean_forecast_requirement,-1478.4808493130067,-2585.4292158837075,-511.2916103776828,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,8,MAY_HISTORICAL,burst_mean_miss_GPUh,1169.150884898672,447.3138250157749,1848.089543409314,31,7,1000,mean per-seed daily metric before resampling
SEASONAL,fixed,8,MAY_HISTORICAL,calibrated_coverage,-0.0238213399503722,-0.04764267990074442,0.0029776674937965356,31,7,1000,mean per-seed daily metric before resampling
TRIVIAL_CAP,fixed,1,EXPOSED_EVALUATION,calibrated_Q90_pinball,11.546500964326462,5.272620537077805,17.758680131666814,88,7,1000,mean per-seed daily metric before resampling
TRIVIAL_CAP,fixed,1,EXPOSED_EVALUATION,raw_Q90_pinball,5.872223823814363,-3.009614047344475,15.240563596990416,88,7,1000,mean per-seed daily metric before resampling
TRIVIAL_CAP,fixed,1,EXPOSED_EVALUATION,mean_forecast_requirement,53.196558846010774,-64.87757163674442,171.0327218832851,88,7,1000,mean per-seed daily metric before resampling
