date,window_index,window_start,window_end,Y_k_GPUh,C_phys_k_GPUh,C_hist_k_GPUh,uncapped_prediction_GPUh,actionable_prediction_GPUh,physical_oracle_covered,historical_oracle_covered,uncapped_covered,actionable_covered,physical_prediction_cap_binding,historical_prediction_cap_binding
2025-05-02,41,2025-05-02T10:15:00+10:00,2025-05-02T14:15:00+10:00,422.8938888888889,3120.0,11062.732222222225,1268.55063469433,1268.55063469433,True,True,True,True,False,False
2025-05-02,42,2025-05-02T10:30:00+10:00,2025-05-02T14:30:00+10:00,868.5527777777779,3120.0,11062.732222222225,1314.627460667626,1314.627460667626,True,True,True,True,False,False
2025-05-02,43,2025-05-02T10:45:00+10:00,2025-05-02T14:45:00+10:00,849.2552777777779,3120.0,11062.732222222225,1353.1070200140578,1353.1070200140578,True,True,True,True,False,False
2025-05-02,44,2025-05-02T11:00:00+10:00,2025-05-02T15:00:00+10:00,910.2252777777779,3120.0,11062.732222222225,1288.1002453469987,1288.1002453469987,True,True,True,True,False,False
2025-05-02,45,2025-05-02T11:15:00+10:00,2025-05-02T15:15:00+10:00,942.0147222222222,3120.0,11062.732222222225,1353.1058955177693,1353.1058955177693,True,True,True,True,False,False
2025-05-02,46,2025-05-02T11:30:00+10:00,2025-05-02T15:30:00+10:00,934.3433333333335,3120.0,11062.732222222225,1345.0164451445373,1345.0164451445373,True,True,True,True,False,False
2025-05-02,47,2025-05-02T11:45:00+10:00,2025-05-02T15:45:00+10:00,934.3433333333334,3120.0,11062.732222222225,1301.6317269619185,1301.6317269619185,True,True,True,True,False,False
2025-05-02,48,2025-05-02T12:00:00+10:00,2025-05-02T16:00:00+10:00,1509.0747222222224,3120.0,11062.732222222225,1276.2623246955166,1276.2623246955166,True,True,False,False,False,False
2025-05-02,49,2025-05-02T12:15:00+10:00,2025-05-02T16:15:00+10:00,1749.9569444444446,3120.0,11062.732222222225,1303.962457279048,1303.962457279048,True,True,False,False,False,False
2025-05-02,50,2025-05-02T12:30:00+10:00,2025-05-02T16:30:00+10:00,1750.005,3120.0,11062.732222222225,1277.9956000978411,1277.9956000978411,True,True,False,False,False,False
2025-05-02,51,2025-05-02T12:45:00+10:00,2025-05-02T16:45:00+10:00,1749.5116666666668,3120.0,11062.732222222225,1291.0694884336842,1291.0694884336842,True,True,False,False,False,False
2025-05-02,52,2025-05-02T13:00:00+10:00,2025-05-02T17:00:00+10:00,3573.8152777777777,3120.0,11062.732222222225,1262.5825756733482,1262.5825756733482,False,True,False,False,False,False
2025-05-02,53,2025-05-02T13:15:00+10:00,2025-05-02T17:15:00+10:00,3573.9391666666666,3120.0,11062.732222222225,1222.1103160553066,1222.1103160553066,False,True,False,False,False,False
2025-05-02,54,2025-05-02T13:30:00+10:00,2025-05-02T17:30:00+10:00,3570.6247222222223,3120.0,11062.732222222225,1222.1103160553066,1222.1103160553066,False,True,False,False,False,False
2025-05-02,55,2025-05-02T13:45:00+10:00,2025-05-02T17:45:00+10:00,3569.0041666666666,3120.0,11062.732222222225,1250.3766549087445,1250.3766549087445,False,True,False,False,False,False
2025-05-02,56,2025-05-02T14:00:00+10:00,2025-05-02T18:00:00+10:00,3568.8583333333336,3120.0,11062.732222222225,1216.4296446730157,1216.4296446730157,False,True,False,False,False,False
2025-05-02,57,2025-05-02T14:15:00+10:00,2025-05-02T18:15:00+10:00,3184.6661111111107,3120.0,11062.732222222225,1157.5799219698622,1157.5799219698622,False,True,False,False,False,False
2025-05-02,58,2025-05-02T14:30:00+10:00,2025-05-02T18:30:00+10:00,2739.007222222222,3120.0,11062.732222222225,1029.8815065752785,1029.8815065752785,True,True,False,False,False,False
2025-05-02,59,2025-05-02T14:45:00+10:00,2025-05-02T18:45:00+10:00,2735.005833333333,3120.0,11062.732222222225,892.3719933866876,892.3719933866876,True,True,False,False,False,False
