job_uid,GPU,D1_state,B0_site,B1_site,B0_downstream,B1_downstream,B0_REFERENCE,TEMPORAL_ONLY,SPATIAL_ONLY_PENDING,JOINT_WITHOUT_RUNNING_MIGRATION,JOINT_B1,temporal,spatial,interaction,migration,total,B0_REFERENCE_start,B0_REFERENCE_finish,TEMPORAL_ONLY_start,TEMPORAL_ONLY_finish,SPATIAL_ONLY_PENDING_start,SPATIAL_ONLY_PENDING_finish,JOINT_WITHOUT_RUNNING_MIGRATION_start,JOINT_WITHOUT_RUNNING_MIGRATION_finish,JOINT_B1_start,JOINT_B1_finish
8632528,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,35.05222222222222,0.0,35.05222222222222,0.0,35.05222222222222,0.0,35.05222222222222,0.0,35.05222222222222
8632529,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,21.545555555555556,0.0,21.545555555555556,0.0,21.545555555555556,0.0,21.545555555555556,0.0,21.545555555555556
8632530,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,39.943333333333335,0.0,39.943333333333335,0.0,39.943333333333335,0.0,39.943333333333335,0.0,39.943333333333335
8632532,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,1.35,0.0,1.35,0.0,1.35,0.0,1.35,0.0,1.35
8632533,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,2.5533333333333332,0.0,2.5533333333333332,0.0,2.5533333333333332,0.0,2.5533333333333332,0.0,2.5533333333333332
8632534,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,11.252222222222223,0.0,11.252222222222223,0.0,11.252222222222223,0.0,11.252222222222223,0.0,11.252222222222223
8632535,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,7.773333333333333,0.0,7.773333333333333,0.0,7.773333333333333,0.0,7.773333333333333,0.0,7.773333333333333
8632536,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,3.358888888888889,0.0,3.358888888888889,0.0,3.358888888888889,0.0,3.358888888888889,0.0,3.358888888888889
8632537,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111
8632538,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111
8632539,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,2.152222222222222,0.0,2.152222222222222,0.0,2.152222222222222,0.0,2.152222222222222,0.0,2.152222222222222
8632540,1,PENDING,AIDC02,AIDC01,False,False,0,0,0,0,0,0,0,0,0,0,0.0,13.527777777777779,0.0,13.527777777777779,0.0,13.527777777777779,0.0,13.527777777777779,0.0,13.527777777777779
8632541,1,PENDING,AIDC02,AIDC01,False,False,0,0,0,0,0,0,0,0,0,0,0.0,12.325555555555555,0.0,12.325555555555555,0.0,12.325555555555555,0.0,12.325555555555555,0.0,12.325555555555555
8632542,1,PENDING,AIDC02,AIDC01,False,False,0,0,0,0,0,0,0,0,0,0,0.0,8.311111111111112,0.0,8.311111111111112,0.0,8.311111111111112,0.0,8.311111111111112,0.0,8.311111111111112
8632543,1,PENDING,AIDC02,AIDC01,False,False,0,0,0,0,0,0,0,0,0,0,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111
8632544,1,PENDING,AIDC02,AIDC01,False,False,0,0,0,0,0,0,0,0,0,0,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111,0.0,48.01111111111111
8632545,1,PENDING,AIDC02,AIDC01,False,False,0,0,0,0,0,0,0,0,0,0,0.0,5.496666666666667,0.0,5.496666666666667,0.0,5.496666666666667,0.0,5.496666666666667,0.0,5.496666666666667
8632546,1,PENDING,AIDC02,AIDC01,False,False,0,0,0,0,0,0,0,0,0,0,0.0,6.433333333333334,0.0,6.433333333333334,0.0,6.433333333333334,0.0,6.433333333333334,0.0,6.433333333333334
8632547,1,PENDING,AIDC02,AIDC01,False,False,0,0,0,0,0,0,0,0,0,0,0.0,7.37,0.0,7.37,0.0,7.37,0.0,7.37,0.0,7.37
